,Number,Uzbek,in English,Number of occurance
31,32,va,and,1064
147,148,ham,too,943
13,14,bir,one,628
9,10,bilan,with,606
30,31,uchun,to,365
126,127,juda,very,365
6,7,uchun,for,365
4,5,u,he,304
149,150,u,she,304
24,25,u,it,304
116,117,yil,year,267
15,16,bu,this,241
101,102,yangi,new,230
835,836,yangi,fresh,230
296,297,avtomobil,car,216
949,950,davom,continue,206
65,66,katta,large,188
72,73,katta,big,188
171,172,uni,him,179
609,610,kamida,least,166
456,457,yuz,hundred,163
270,271,yuz,face,163
392,393,olib,bring,152
388,389,olib,brought,152
184,185,eng,most,147
575,576,saqlab,kept,145
497,498,sovuq,cold,142
406,407,kuz,fall,139
90,91,yana,again,138
205,206,mamlakat,country,138
870,871,muvofiq,proper,138
55,56,yaxshi,well,132
120,121,yaxshi,good,132
166,167,uning,her,131
2,3,uning,his,131
573,574,yovvoyi,wild,118
433,434,yashil,green,118
288,289,ular,those,116
10,11,ular,they,116
33,34,ichida,in,114
445,446,aniq,clear,112
404,405,aniq,certain,112
606,607,aniq,exact,112
706,707,oshirish,raise,107
622,623,oshirish,rise,107
638,639,teng,equal,106
747,748,tabiiy,natural,106
335,336,yarim,half,104
804,805,yaratish,create,102
801,802,zarur,necessary,100
354,355,qolish,stay,99
709,710,yoki,whether,97
26,27,yoki,or,97
720,721,yoki,either,97
482,483,qarshi,against,92
951,952,sxema,chart,92
169,170,narsa,thing,89
789,790,elektr,electric,87
477,478,bir necha,several,86
230,231,qiyin,hard,85
914,915,ayniqsa,especially,84
154,155,foydalanish,use,82
442,443,maxsus,special,81
192,193,birinchi,first,78
25,26,siz,you,73
89,90,bizga,us,72
786,787,odam,human,68
115,116,odam,man,68
219,220,davlat,state,67
487,488,shaxs,person,66
307,308,hech,ever,66
603,604,qabul,receive,65
17,18,tomonidan,by,65
279,280,boshlanishi,begin,64
360,361,qaror,decide,61
907,908,qaror,solution,61
623,624,yomon,bad,59
172,173,ikki,two,58
35,36,mumkin,can,58
194,195,mumkin,may,58
373,374,mumkin,possible,58
76,77,ish,act,57
102,103,ish,work,57
587,588,gaz,gas,57
579,580,ish,job,57
521,522,farq,vary,56
137,138,farq,differ,56
514,515,sabab,reason,55
139,140,sabab,cause,55
0,1,sifatida,as,54
150,151,hamma,all,53
21,22,nima,what,52
40,41,nima,do,52
589,590,oy,month,50
363,364,oy,moon,50
20,21,lekin,but,49
834,835,muhim,major,49
143,144,harakat,move,47
891,892,harakat,motion,47
854,855,taqsimlash,division,47
901,902,shakar,sugar,46
331,332,sodir,happen,46
970,971,paxta,cotton,46
885,886,sodir,occur,46
180,181,qilgan,did,45
193,194,kim,who,45
302,303,qiz,girl,44
759,760,faoliyat,operate,43
202,203,xususiy,own,43
796,797,shunday,thus,42
729,730,qonun,law,42
164,165,shunday,so,42
11,12,bo’lishi,be,42
967,968,tashkil,arrange,42
117,118,kelgan,came,41
379,380,ming,thousand,41
37,38,boshqa,other,40
1,2,men,I,38
145,146,bola,boy,38
757,758,askar,soldier,37
52,53,uch,three,37
604,605,qator,row,37
755,756,boy,rich,36
304,305,yosh,young,36
674,675,yosh,age,36
664,665,yosh bola,child,35
200,201,bosh,head,35
49,50,aytib,tell,34
488,489,pul,money,32
176,177,kun,day,32
839,840,kun,gun,32
14,15,bor,have,31
173,174,bor,has,31
280,281,bor,got,31
128,129,faqat,just,31
840,841,ruxsat,allow,31
224,225,ruxsat,let,31
8,9,bor,are,31
113,114,faqat,only,31
342,343,aytdi,told,31
27,28,bor,had,31
100,101,har qanday,any,30
985,986,ustun,column,29
141,142,degani,mean,29
905,906,ayollar,women,28
42,43,vaqt,time,28
685,686,kambag’al,poor,27
716,717,soch,hair,27
811,812,solishtirish,compare,27
751,752,yo’q,won’t,27
183,184,yo’q,no,27
212,213,o’rganish,learn,27
152,153,qachon,when,27
210,211,o’rganish,study,27
207,208,javob,answer,26
883,884,javob,reply,26
390,391,qor,snow,26
285,286,guruh,group,25
787,788,tarix,history,25
893,894,suyuq,liquid,24
204,205,kerak,should,24
612,613,tashqari,except,24
85,86,kerak,need,24
71,72,kerak,must,24
348,349,qirol,king,23
185,186,odamlar,people,23
453,454,yaxshiroq,better,23
305,306,tayyor,ready,23
476,477,oddiy,simple,22
123,124,bizning,our,22
222,223,hech qachon,never,22
303,304,oddiy,usual,22
617,618,taklif,suggest,21
250,251,kitob,book,21
998,999,talab,claim,21
991,992,talab,require,21
119,120,har bir,every,20
292,293,xat,letter,20
48,49,har bir,each,20
198,199,hozir,now,20
273,274,ochiq,open,19
179,180,kelib,come,19
7,8,bo’yicha,on,19
181,182,soni,number,19
253,254,fan,science,19
312,313,suhbat,talk,19
491,492,yo’l,road,19
892,893,yo’l,path,19
156,157,yo’l,way,19
62,63,o’qish,read,18
189,190,suv,water,18
247,248,hayot,life,18
533,534,his,felt,17
431,432,oxirgi,final,17
311,312,his,feel,17
362,363,chuqur,deep,17
223,224,oxirgi,last,17
272,273,asosiy,main,16
943,944,asosiy,basic,16
788,789,ta’sir,effect,16
440,441,daqiqa,minute,15
659,660,daqiqa,moment,15
111,112,orqa,back,15
679,680,sokin,quiet,14
174,175,nazar,look,14
148,149,bir xil,same,14
613,614,yozgan,wrote,14
258,259,fikr,idea,13
443,444,fikr,mind,13
142,143,oldin,before,13
225,226,fikr,thought,13
961,962,muddat,term,13
41,42,ularning,their,13
306,307,yuqorida,above,12
39,40,qaysi,which,12
830,831,soat,clock,12
760,761,amaliyot,practice,12
423,424,qilingan,done,12
820,921,dollar,dollar,12
107,108,qilingan,made,12
452,453,soat,hour,12
161,162,yozish,write,11
771,772,talaba,student,11
345,346,chunki,since,11
645,646,bank,bank,11
347,348,butun,whole,11
235,236,uzoq,far,11
436,437,rivojlantirish,develop,11
593,594,baxtli,happy,11
559,560,isbotlash,prove,11
572,573,yozma,written,11
904,905,mahorat,skill,11
441,442,kuchli,strong,10
160,161,ularga,them,10
175,176,ko’proq,more,10
410,411,mashina,machine,10
186,187,mening,my,10
767,768,hosil,crop,10
19,20,so’z,word,9
450,451,eshitib,heard,9
140,141,ko’p,much,9
131,132,buyuk,great,9
849,850,yetib,arrive,9
455,456,davomida,during,9
939,940,holat,condition,9
105,106,olish,get,9
267,268,ishonch,sure,9
158,159,ko’p,many,9
776,777,topish,locate,8
199,200,topish,find,8
163,164,kabi,like,8
334,335,maydon,area,8
366,367,tizim,system,8
300,301,yetarli,enough,8
625,626,neft,oil,8
465,466,erishish,reach,8
633,634,qiymati,cost,8
449,450,maydon,space,8
490,491,paydo,appear,8
268,269,tomosha,watch,8
742,743,qiymati,value,8
558,559,uyqu,sleep,7
562,563,mashq,exercise,7
93,94,ona,mother,7
958,959,alohida,particular,7
330,331,savol,question,7
426,427,turib,stood,7
761,762,alohida,separate,7
486,487,sevgi,love,7
954,955,muvaffaqiyat,success,6
3,4,ekan,that,6
489,490,xizmat,serve,6
333,334,kema,ship,6
133,134,aytish,say,6
275,276,birga,together,6
371,372,umumiy,common,6
737,738,yer,soil,6
88,89,urinish,try,6
463,464,yer,ground,6
323,324,eshik,door,6
618,619,toza,clean,6
286,287,har doim,always,6
98,99,yer,earth,6
576,577,shisha,glass,6
525,526,umumiy,general,6
74,75,bunday,such,5
278,279,bolalar,children,5
244,245,yaqin,close,5
536,537,hali,yet,5
493,494,yomg’ir,rain,5
648,649,nazorat,control,5
211,212,hali,still,5
99,100,ota,father,5
382,383,nazorat,check,5
95,96,yaqin,near,5
413,414,reja,plan,5
372,373,oltin,gold,5
412,413,kutish,wait,4
299,300,ikkinchi,second,4
106,107,joy,place,4
454,455,haqiqiy,TRUE,4
228,229,kesib,cross,4
325,326,qora,black,4
398,399,til,language,4
793,794,tasavvur,imagine,4
663,664,kuzatish,observe,4
248,249,oz,few,4
246,247,haqiqiy,real,4
239,240,kech,late,4
68,69,hatto,even,4
459,460,qadam,step,4
112,113,oz,little,4
522,523,hal,settle,3
681,682,kichkina,tiny,3
60,61,qo’yish,put,3
73,74,baland,high,3
226,227,shahar,city,3
80,81,o’zgarish,change,3
58,59,kichkina,small,3
402,403,shahar,town,3
242,243,paytda,while,3
470,471,olti,six,3
399,400,orasida,among,3
94,95,dunyo,world,3
457,458,besh,five,3
352,353,hech nima,nothing,3
324,325,mahsulot,product,3
707,708,hal,solve,3
667,668,millat,nation,3
447,448,mahsulot,produce,3
702,703,qishloq,village,3
121,122,meni,me,3
765,766,himoya,protect,3
735,736,baland,tall,3
642,643,mos,fit,2
243,244,matbuot,press,2
326,327,qisqa,short,2
995,996,burun,nose,2
505,506,tuxum,egg,2
12,13,da,at,2
691,692,yakka,single,2
972,973,aniqlash,determine,2
269,270,rang,color,2
295,296,daryo,river,2
695,696,teri,skin,2
647,648,saqlash,save,2
927,928,sotib,bought,2
308,309,qizil,red,2
887,888,nutq,speech,2
888,889,tabiat,nature,2
920,921,muhokama,discuss,2
758,759,jarayon,process,2
507,508,hujayra,cell,2
504,505,aka,brother,2
233,234,hikoya,story,2
819,820,mashhur,famous,2
43,44,agar,if,2
376,377,quruq,dry,2
754,755,meva,fruit,2
381,382,yugurib,ran,2
539,540,yurak,heart,2
547,548,keng,wide,2
726,727,asr,century,2
124,125,ostida,under,2
472,473,sayohat,travel,2
992,993,keng,broad,2
601,602,sayohat,trip,2
389,390,issiqlik,heat,2
946,947,na,nor,2
46,47,dedi,said,2
727,728,tushunmoq,consider,2
580,581,chet,edge,2
705,706,sotib,buy,2
692,693,tayoq,stick,1
865,866,ulushi,share,1
855,856,varaq,sheet,1
340,341,muammo,problem,1
365,366,oyoq,foot,1
508,509,iymon,believe,1
924,925,tajriba,experience,1
484,485,sekin,slow,1
96,97,qurish,build,1
375,376,foyda,stead,1
54,55,havo,air,1
602,603,idora,office,1
687,688,tajriba,experiment,1
669,670,sut,milk,1
626,627,qon,blood,1
756,757,qalin,thick,1
227,228,daraxt,tree,1
346,347,eng yaxshi,top,1
386,387,issiq,hot,1
844,845,sahro,desert,1
594,595,umid,hope,1
480,481,urush,war,1
831,832,meniki,mine,1
917,918,ulkan,huge,1
773,774,partiya,party,1
165,166,bular,these,1
313,314,qush,bird,1
881,882,aziz,dear,1
766,767,peshin,noon,1
187,188,ustida,over,1
762,763,murakkab,difficult,1
22,23,bir qancha,some,1
232,233,qudrat,might,1
75,76,rioya,follow,1
136,137,chiziq,line,1
236,237,dengiz,sea,1
993,994,tayyorlash,prepare,1
653,654,buzib,broke,1
86,87,uy,house,1
654,655,hodisa,case,1
581,582,belgi,sign,1
725,726,mushuk,cat,1
238,239,chap,left,1
567,568,osmon,sky,1
157,158,atrofida,about,1
18,19,issiq,hot,1
549,550,ashyo,material,1
798,799,ayol,woman,1
741,742,sanoat,industry,1
652,653,mutlaqo,quite,1
282,283,misol,example,1
290,291,belgi,mark,1
255,256,xona,room,1
251,252,bajarish,carry,1
262,263,bir marta,once,1
61,62,uy,home,1
439,440,ozod,free,1
135,136,past,low,1
768,769,zamonaviy,modern,1
130,131,hukm,sentence,1
561,562,oyoq,leg,1
83,84,rahmdil,kind,1
520,521,hajmi,size,1
516,517,vakili,represent,1
903,904,shirin,pretty,1
451,452,eng yaxshi,best,1
263,264,asos,base,1
957,958,hodisa,event,1
182,183,ovozli,sound,0
216,217,quyosh,sun,0
217,218,to’rt,four,0
218,219,o’rtasida,between,0
220,221,saqlamoq,keep,0
188,189,bilaman,know,0
132,133,deb o’ylayman,think,0
178,179,borish,go,0
146,147,qari,old,0
125,126,ism,name,0
127,128,ichidan,through,0
129,130,shakl,form,0
214,215,qoplama,cover,0
134,135,yordam bering,help,0
215,216,ovqat,food,0
197,198,edi,been,0
213,214,o’simlik,plant,0
191,192,chaqirish,call,0
110,111,so’ng,after,0
144,145,o’ng,right,0
114,115,dumaloq,round,0
118,119,ko’rsatish,show,0
122,123,berishi,give,0
190,191,nisbatan,than,0
195,196,pastga,down,0
209,210,o’sadi,grow,0
566,567,iltimos,wish,0
196,197,taraf,side,0
201,202,turmoq,stand,0
203,204,bet,page,0
206,207,topildi,found,0
208,209,maktab,school,0
138,139,burilish,turn,0
577,578,o’t,grass,0
151,152,u yerda,there,0
595,596,gul,flower,0
585,586,qiziqarli,fun,0
586,587,yorug ’,bright,0
588,589,ob-havo,weather,0
590,591,million,million,0
591,592,qo’pol,bear,0
592,593,marra,finish,0
596,597,kiyintirmoq,clothe,0
177,178,qo’lidan,could,0
597,598,g’alati,strange,0
598,599,ketganimda,gone,0
570,571,qish,winter,0
568,569,taxta,board,0
401,402,kuch,power,0
56,57,shuningdek,also,0
584,585,yumshoq,soft,0
583,584,o’tgan,past,0
582,583,tashrif,visit,0
578,579,sigir,cow,0
574,575,asbob,instrument,0
571,572,signallarini,sat,0
569,570,xursandchilik,joy,0
400,401,birlik,unit,0
397,398,bo’yoq,paint,0
396,397,sharq,east,0
170,171,qarang,see,0
168,169,olmoq,make,0
167,168,uzun,long,0
162,163,bulardi,would,0
159,160,so’ng,then,0
155,156,Sening,your,0
153,154,up,up,0
57,58,o’yin,play,0
355,356,g’ildirak,wheel,0
53,54,istaymiz,want,0
350,351,inch,inch,0
338,339,yong’in,fire,0
339,340,janub,south,0
343,344,bilgan,knew,0
357,358,kuch,force,0
344,345,o’tishi,pass,0
349,350,ko’cha,street,0
351,352,ko’paytirib,multiply,0
336,337,qoya,rock,0
353,354,"Albatta,",course,0
544,545,motor,engine,0
356,357,to’liq,full,0
234,235,arra,saw,0
229,230,ferma,farm,0
666,667,ohangdosh,consonant,0
337,338,buyurtma,order,0
332,333,to’la,complete,0
51,52,to’plami,set,0
393,394,ha,yes,0
380,381,ilgari,ago,0
383,384,o’yin,game,0
384,385,shakli,shape,0
385,386,tenglashtirmoq,equate,0
387,388,kechikmoq,miss,0
391,392,shina,tire,0
394,395,uzoqdagi,distant,0
329,330,shamol,wind,0
395,396,to’ldirish,fill,0
361,362,yuza,surface,0
359,360,ob’ekt,object,0
358,359,ko’k,blue,0
341,342,qism,piece,0
328,329,class,class,0
64,65,port,port,0
67,68,kiritish,add,0
69,70,er,land,0
32,33,a,a,0
59,60,oxiri,end,0
5,6,edi,was,0
16,17,ushbudan boshlab:,from,0
23,24,hisoblanadi,is,0
28,29,The,the,0
29,30,ning,of,0
34,35,bizlar,we,0
70,71,bu yerga,here,0
36,37,tashqarida,out,0
38,39,edi,were,0
44,45,bo’ladi,will,0
45,46,qanaqasiga,how,0
47,48,E’lonni,an,0
50,51,qilsa,does,0
221,222,ko’z,eye,0
63,64,qo’l,hand,0
66,67,sehr,spell,0
109,110,qayerda,where,0
108,109,jonli,live,0
104,105,olmoq,take,0
103,104,qism,part,0
97,98,o’zini,self,0
92,93,nuqtasi,point,0
91,92,hayvon,animal,0
87,88,surat,picture,0
84,85,off,off,0
82,83,engil,light,0
81,82,ketdi,went,0
79,80,Erkaklar,men,0
78,79,so’rarlar,ask,0
77,78,nima uchun,why,0
543,544,raqs,dance,0
611,612,baqirmoq qichqirmoq,shout,0
545,546,vaziyat,position,0
424,425,go’zallik,beauty,0
417,418,ot,noun,0
418,419,dala,field,0
419,420,dam,rest,0
420,421,to’g’ri,correct,0
421,422,qodir,able,0
422,423,funt,pound,0
469,470,tinglash,listen,0
519,520,mintaqa,region,0
473,474,ozroq,less,0
538,539,tomchi,drop,0
474,475,ertalab,morning,0
513,514,kvadrat,square,0
515,516,uzunlik,length,0
517,518,san’at,art,0
425,426,haydash,drive,0
416,417,box,box,0
414,415,shakl,figure,0
411,412,eslatma,note,0
409,410,qorong’u,dark,0
408,409,yig’lamoq,cry,0
407,408,qo’rg’oshin,lead,0
405,406,chivin,fly,0
403,404,jarima,fine,0
415,416,yulduz,star,0
427,428,o’z ichiga olgan,contain,0
428,429,front,front,0
429,430,o’rgatish,teach,0
468,469,kuylashadi,sing,0
467,468,fe’l,verb,0
466,467,tez,fast,0
464,465,qiziqish,interest,0
518,519,mavzu,subject,0
523,524,gapirish,speak,0
461,462,ushlab turing,hold,0
496,497,torting,pull,0
481,482,yotar,lay,0
483,484,namuna,pattern,0
485,486,markaz,center,0
492,493,xarita,map,0
495,496,boshqarmoq,govern,0
509,510,ehtimol,perhaps,0
498,499,bildirishnoma,notice,0
524,525,vazn,weight,0
499,500,ovoz,voice,0
501,502,ov,hunt,0
502,503,ehtimolli,probable,0
503,504,karavot,bed,0
506,507,haydash,ride,0
377,378,hayron,wonder,0
479,480,tomonga,toward,0
478,479,unli tovush,vowel,0
475,476,o’n,ten,0
494,495,qoida,rule,0
510,511,termoq,pick,0
511,512,kutilmagan,sudden,0
512,513,hisoblash,count,0
537,538,to’lqin,wave,0
535,536,koptok,ball,0
534,535,grand,grand,0
532,533,bo’g’in,syllable,0
531,532,ajratmoq,divide,0
530,531,o’z ichiga oladi,include,0
529,530,juft,pair,0
528,529,to’garak,circle,0
527,528,"qat’i nazar,",matter,0
526,527,muz,ice,0
462,463,g’arb,west,0
460,461,barvaqt,early,0
546,547,qo’l,arm,0
649,650,o’nlik,decimal,0
639,640,yuborilgan,sent,0
640,641,ni tanlang,choose,0
641,642,tushdi,fell,0
643,644,oqim,flow,0
644,645,yarmarka,fair,0
646,647,to’plash,collect,0
650,651,quloq,ear,0
662,663,bahor,spring,0
651,652,yana boshqa,else,0
655,656,o’rta,middle,0
656,657,o’ldirish,kill,0
657,658,o’g’il,son,0
658,659,ko’l,lake,0
660,661,miqyosli,scale,0
607,608,ramz,symbol,0
605,606,og’iz,mouth,0
600,601,kuy,melody,0
599,600,savdo,trade,0
565,566,mount,mount,0
564,565,tutmoq,catch,0
563,564,devor,wall,0
560,561,yolg’iz,lone,0
557,558,poezd,train,0
556,557,yoz,summer,0
555,556,do’kon,store,0
554,555,deraza,window,0
553,554,irq,race,0
552,553,o’tirib,sit,0
551,552,o’rmon,forest,0
550,551,kasr,fraction,0
548,549,suzmoq,sail,0
661,662,baland ovozda,loud,0
665,666,streyt,straight,0
458,459,eslayman,remember,0
432,433,berdi,gave,0
632,633,sim,wire,0
542,543,og’ir,heavy,0
541,542,hozirgi,present,0
540,541,emasman,am,0
471,472,stol,table,0
430,431,xafta,week,0
434,435,ah,oh,0
637,638,bog ’,garden,0
435,436,tez,quick,0
437,438,okean,ocean,0
438,439,iliq,warm,0
444,445,orqasida,behind,0
446,447,dum,tail,0
448,449,dalil,fact,0
631,632,komanda,team,0
630,631,mix,mix,0
629,630,foiz,cent,0
628,629,o’sdi,grew,0
627,628,tegish,touch,0
624,625,zarba,blow,0
634,635,yo’qolgan,lost,0
621,622,yard,yard,0
619,620,tanaffus,break,0
616,617,qo’shilish,join,0
615,616,ohang,tone,0
614,615,urug ’,seed,0
610,611,tashvish,trouble,0
608,609,o’lish,die,0
620,621,xonim,lady,0
635,636,jigar rang,brown,0
636,637,kiyish,wear,0
378,379,kulgu,laugh,0
978,979,tasodif,chance,0
374,375,Samolyot,plane,0
926,927,olma,apple,0
859,860,post,post,0
928,929,led,led,0
860,861,nafaqa,spend,0
861,862,akkord,chord,0
862,863,yog ’,fat,0
863,864,xursand,glad,0
864,865,original,original,0
936,937,Win,win,0
925,926,xol,score,0
866,867,bekat,station,0
867,868,dada,dad,0
930,931,palto,coat,0
931,932,massa,mass,0
853,854,qirg’oq,shore,0
858,859,ulanish,connect,0
857,858,muruvvat,favor,0
856,857,modda,substance,0
929,930,pitch,pitch,0
869,870,ayblash,charge,0
971,972,tug’ma,born,0
799,800,kapitan,captain,0
714,715,keladir,shall,0
986,987,molekulasi,molecule,0
984,985,mulk,property,0
710,711,durang,push,0
983,984,nur,shine,0
711,712,yetti,seven,0
712,713,paragraf,paragraph,0
713,714,uchinchi,third,0
715,716,O’tkazilayotgan,held,0
982,983,otish,throw,0
846,847,hozirgi,current,0
841,842,chop etish,print,0
718,719,oshpaz,cook,0
898,899,chig’anoq,shell,0
913,914,qo’shimchasi,suffix,0
894,895,log,log,0
895,896,anglatadi,meant,0
896,897,bo’linma,quotient,0
912,913,match,match,0
897,898,teeth,teeth,0
899,900,bo’yin,neck,0
842,843,o’lgan,dead,0
900,901,kislorod,oxygen,0
911,912,filial,branch,0
910,911,rahmat,thank,0
909,910,kumush,silver,0
902,903,o’lim,death,0
889,890,oralig’i,range,0
915,916,anjir,fig,0
890,891,bug ’,steam,0
871,872,bar,bar,0
769,770,element,element,0
923,924,hidoyat,guide,0
868,869,non,bread,0
852,853,ota-,parent,0
851,852,trek,track,0
850,851,usta,master,0
933,934,frans,band,0
934,935,arqon,rope,0
848,840,atirgul,rose,0
932,933,karta,card,0
847,848,lift,lift,0
935,936,siljitmoq,slip,0
845,846,kostyum,suit,0
843,844,spot,spot,0
717,718,tasvirlab,describe,0
719,720,pol,floor,0
886,887,qo’llab-quvvatlash,support,0
990,991,takrorlash,repeat,0
738,739,roll,roll,0
976,977,shovqin,noise,0
704,705,ildiz,root,0
703,704,uchrashmoq,meet,0
701,702,sakkiz,eight,0
700,701,chaqaloq,baby,0
699,700,sakramoq,jump,0
689,690,kalit,key,0
698,699,teshik,hole,0
697,698,qat,crease,0
696,697,tabassum,smile,0
694,695,yigirma,twenty,0
693,694,tekis,flat,0
994,995,tuz,salt,0
906,907,mavsum,season,0
744,745,yolg’on,lie,0
750,751,kapital,capital,0
749,750,sezgi,sense,0
748,749,ko’rinish,view,0
973,974,kvarta,quart,0
752,753,stul,chair,0
753,754,xavfli,danger,0
975,976,yuk mashinasi,truck,0
739,740,harorat,temperature,0
745,746,mag’lub etdi,beat,0
763,764,shifokor,doctor,0
743,744,jang,fight,0
746,747,ta’sir qilmoq,excite,0
764,765,iltimos,please,0
974,975,to’qqiz,nine,0
740,741,barmoq,finger,0
690,691,temir,iron,0
688,689,pastki,bottom,0
981,982,cho’zmoq,stretch,0
977,978,daraja,level,0
736,737,qum,sand,0
734,735,shovqinsiz,silent,0
733,734,ifoda,phrase,0
732,733,nusxa,copy,0
731,732,qirg’oq,coast,0
730,731,bit,bit,0
728,729,shrift,type,0
686,687,maydoni,lot,0
979,980,to’plash,gather,0
980,981,do’kon,shop,0
724,725,zararsiz,safe,0
723,724,tepalik,hill,0
721,722,natija,result,0
708,709,metall,metal,0
722,723,kuyish,burn,0
987,988,tanlang,select,0
988,989,noto’g’ri,wrong,0
989,990,kul rang,gray,0
671,672,usul,method,0
672,673,organ,organ,0
673,674,to’lov,pay,0
675,676,bo’lim,section,0
997,998,g’azab,anger,0
676,677,kiyim,dress,0
677,678,bulut,cloud,0
678,679,surprise,surprise,0
680,681,tosh,stone,0
682,683,yuqoriga chiqmok,climb,0
683,684,salqin,cool,0
684,685,dizayn,design,0
996,997,ko’plik,plural,0
916,917,qo’rqqan,afraid,0
877,878,bozor,market,0
370,371,qayiq,boat,0
291,292,ko’pincha,often,0
500,501,quvvat,energy,0
668,669,lug’at,dictionary,0
281,282,yurish,walk,0
284,285,qog’oz,paper,0
287,288,musiqa,music,0
289,290,har ikkala,both,0
293,294,gacha,until,0
315,316,badan,body,0
294,295,milya,mile,0
297,298,fut,feet,0
298,299,g’amxo’rlik,care,0
301,302,tekis,plain,0
309,310,ro’yxat,list,0
310,311,garchi,though,0
670,671,tezlik,speed,0
817,818,ishqalamoq,rub,0
816,817,go’sht,meat,0
815,816,bog’liq,depend,0
814,815,qo’ng’iroq,bell,0
813,814,string,string,0
812,813,she’r,poem,0
818,819,trubka,tube,0
947,948,ikki hissa,double,0
950,951,blok,block,0
810,811,makkajo’xori,corn,0
809,810,to’da,crowd,0
808,809,afzal,rather,0
807,808,ko’rshapalak,bat,0
952,953,shlyapa,hat,0
948,949,o’rin,seat,0
953,954,sotish,sell,0
314,315,yaqinda,soon,0
316,317,it,dog,0
823,284,ko’z,sight,0
320,321,tark,leave,0
261,262,stop,stop,0
264,265,eshitmoq,hear,0
265,266,ot,horse,0
266,267,kesma,cut,0
271,272,o’tin,wood,0
274,275,ko’rinadi,seem,0
321,322,song,song,0
317,318,oilaviy,family,0
322,323,o’lchov,measure,0
327,328,raqam,numeral,0
364,365,orol,island,0
367,368,band,busy,0
368,369,sinov,test,0
369,370,rekord,record,0
260,261,tog ’,mountain,0
259,260,baliq,fish,0
257,258,boshladi,began,0
256,257,do’st,friend,0
254,255,ovqat,eat,0
252,253,oldi,took,0
249,250,shimol,north,0
245,246,tun,night,0
241,242,bunday qilma,don’t,0
240,241,Run,run,0
237,238,chizish,draw,0
276,277,keyingisi,next,0
231,232,start,start,0
277,278,oq rang,white,0
283,284,sukunat,ease,0
319,320,tug’dirmaydi,pose,0
318,319,to’g’ri,direct,0
821,822,oqim,stream,0
837,838,yuborish,send,0
922,923,o’xshash,similar,0
795,796,qo’shilaman,agree,0
963,964,rafiqa,wife,0
790,791,kutyapmiz,expect,0
962,963,qarama-qarshi,opposite,0
791,792,suyak,bone,0
792,793,rels,rail,0
794,795,ta’minlash,provide,0
960,961,suzmoq,swim,0
964,965,tufli,shoe,0
797,798,yumshoq,gentle,0
908,909,magnit,magnet,0
800,801,taxmin,guess,0
959,960,kelishuv,deal,0
802,803,o’tkir,sharp,0
803,804,qanot,wing,0
838,839,sariq,yellow,0
940,941,yem,feed,0
938,939,kechqurun,evening,0
937,938,xayol,dream,0
884,885,ichimlik,drink,0
919,920,po’lat,steel,0
921,922,olg’a,forward,0
882,883,dushman,enemy,0
880,881,jo’ja,chick,0
879,880,aholining,populate,0
918,919,singil,sister,0
878,879,gradus,degree,0
876,877,tez,instant,0
875,876,o’rdak,duck,0
874,875,qul,slave,0
873,874,segment,segment,0
872,873,taklif qilish,offer,0
956,957,ayirmoq,subtract,0
965,966,elka,shoulder,0
836,837,qidirish,search,0
945,946,vodiy,valley,0
806,807,yuvish,wash,0
829,830,mustamlaka,colony,0
824,825,ingichka,thin,0
825,826,uchburchak,triangle,0
826,827,sayyora,planet,0
827,828,shoshilmoq,hurry,0
828,829,boshliq,chief,0
785,786,atom,atom,0
944,945,hid,smell,0
822,823,qo’rqinch,fear,0
832,833,galstuk,tie,0
833,834,kiritish,enter,0
942,943,jami,total,0
941,942,asbob,tool,0
805,806,qo’shni,neighbor,0
955,956,kompaniya,company,0
783,784,radio,radio,0
782,783,ko’rsatadi,indicate,0
966,967,tarqalishi,spread,0
781,782,davr,period,0
780,781,qo’lga,caught,0
779,780,hasharot,insect,0
784,785,gapirdi,spoke,0
778,779,fe’l,character,0
968,969,lager,camp,0
775,776,kimning,whose,0
774,775,ta’minlash,supply,0
772,773,burchak,corner,0
969,970,to’qirlar,invent,0
770,771,zarba,hit,0
777,778,ring,ring,0
999,1000,qit’a,continent,0
